Animal_Id,Location,Fittness,Line,harvest,Weight_initial,Weight_final,Length_initial,Length_final,weight_init_std,country
10974743,Kunduchi,Adequate,Chemchem,Yes,25.13,75.2,8.9,12.1,-0.9479431024179222,Africa
10975014,Kunduchi,Adequate,Chemchem,Yes,23.63,64.9,9.1,12.7,-1.015971462736216,Africa
10974776,Kunduchi,Adequate,Chemchem,Yes,21.49,,8.4,,-1.1130252567903152,Africa
10975485,Kunduchi,Adequate,Mindu,Yes,112.85,226.0,16.1,16.1,3.0303554089958973,Africa
10975074,Kunduchi,Adequate,Mindu,Yes,66.68,159.0,12.5,17.2,0.9364424783988156,Africa
10974974,Kunduchi,Adequate,Mindu,Yes,109.58,161.2,15.0,17.1,2.882053583502017,Africa
10975019,Kunduchi,Adequate,Mindu,Yes,85.68,102.3,14.6,16.0,1.7981350424305367,Africa
10974998,Kunduchi,Adequate,Mindu,Yes,106.29,170.8,16.0,18.0,2.732844713203893,Africa
10974956,Kunduchi,Adequate,Mindu,Yes,95.33,199.5,15.2,18.0,2.235784160478226,Africa
10975350,Kunduchi,Adequate,Mindu,Yes,106.45,213.4,15.7,19.2,2.740101071637844,Africa
10974670,Kunduchi,Adequate,Mindu,Yes,91.91,157.2,15.0,17.1,2.080679498952516,Africa
10975021,Kunduchi,Adequate,Mindu,Yes,82.88,101.7,14.2,15.0,1.6711487698363878,Africa
10975330,Kunduchi,Adequate,Mindu,Yes,83.21,182.9,14.5,18.0,1.6861150091064123,Africa
10975356,Kunduchi,Adequate,Mindu,Yes,76.95,188.3,14.4,18.0,1.4022099853780667,Africa
10975027,Kunduchi,Adequate,Mindu,Yes,120.29,200.8,16.7,18.3,3.3677760761746347,Africa
10975448,Kunduchi,Adequate,Mindu,Yes,89.21,208.7,14.7,18.0,1.9582284503795875,Africa
10975130,Kunduchi,Adequate,Mindu,Yes,74.3,173.6,13.7,17.3,1.2820265488157474,Africa
10975241,Kunduchi,Adequate,Mindu,Yes,76.48,149.4,14.0,17.0,1.3808944324783348,Africa
10975419,Kunduchi,Adequate,Mindu,Yes,68.2,131.9,13.9,16.0,1.0053778835213532,Africa
10975545,Kunduchi,Adequate,Mindu,Yes,39.14,109.2,11.0,15.0,-0.3125582170450584,Africa
10975498,Kunduchi,Adequate,Mindu,Yes,74.1,183.3,13.5,17.5,1.2729561007733081,Africa
10975600,Kunduchi,Adequate,Mindu,Yes,45.18,,12.0,,-0.038630686163395475,Africa
